file,category,motion,motion_reason,usable,quality_reason,description,confidence,dense_pattern,overhead_view,duplicate_of,input_tokens,output_tokens,cost_usd
WhatsApp Image 2026-09-09 at 08.27.43 (1).jpeg,commun,motion,"Couloir spacieux avec perspective linéaire, arches et profondeur, peu de motif répétitif dominant",True,,"Couloir voûté aux arches blanches, orné de portes en bois massif finement sculptées et de lanternes marocaines suspendues. Le sol en zellige bleu et terracotta crée une ligne directrice, tandis qu'une ouverture latérale révèle une cour avec végétation.",high,False,False,,1896,189,0.002841
WhatsApp Image 2026-09-09 at 08.27.43.jpeg,commun,motion,"Vue large d'une galerie spacieuse avec profondeur, arches et perspectives ouvertes sur l'extérieur",True,,"Galerie couverte d'un riad avec arches en pierre blanche, mobilier rouge, lanternes marocaines suspendues et vue sur la végétation luxuriante. L'espace combine l'architecture traditionnelle avec une décoration contemporaine.",high,False,False,,1896,174,0.002766
WhatsApp Image 2026-09-09 at 08.29.28.jpeg,piscine,motion,"Vue large du patio avec bassin central lisible, cadrage spacieux et profondeur de champ",True,,"Patio intérieur marocain traditionnel avec bassin rectangulaire aux eaux turquoise, encadré de deux arbres et de portes en bois ouvragé. Décor symétrique associant zellige, poteries terracotta et ornements dorés.",high,False,False,,1896,173,0.002761
WhatsApp Image 2026-09-09 at 08.29.42.jpeg,piscine,motion,"Vue large d'un patio ouvert avec perspective profonde, bassin lisible et cadrage spacieux sans motif répétitif dominant",True,,"Patio intérieur marocain traditionnel avec bassin central rectangulaire aux eaux turquoise, encadré de quatre arbres et de zellige bleu-or. Galerie couverte avec portes en bois massif et fenêtres à moucharabieh, murs blancs et sol en carreaux de terre cuite.",high,False,False,,1896,198,0.002886
WhatsApp Image 2026-09-09 at 08.29.43 (1).jpeg,piscine,motion,"Vue large d'une cour intérieure spacieuse avec bassin central, perspective dégagée et profondeur de champ",True,,"Cour intérieure d'un riad traditionnel marocain avec bassin rectangulaire aux carrelages géométriques, arbres matures créant de l'ombre, portes en bois ouvragé et arcades blanches. L'espace combine éléments architecturaux classiques et végétation méditerranéenne.",high,False,False,,1896,196,0.002876
WhatsApp Image 2026-09-09 at 08.29.43.jpeg,commun,motion,"Perspective linéaire profonde d'une galerie spacieuse, peu de motifs répétitifs dominants",True,,"Galerie voûtée de style marocain traditionnel, éclairée naturellement par des baies latérales. Mobilier en velours rouge et lanternes en laiton ajouré créent une ambiance intime dans cet espace de circulation.",high,False,False,,1896,172,0.002756
WhatsApp Image 2026-09-09 at 08.29.44 (1).jpeg,piscine,motion,"Vue large d'un patio ouvert avec bassin central, perspective profonde et architecture spacieuse lisible",True,,"Patio intérieur marocain traditionnel avec bassin rectangulaire peu profond, encadré de deux arbres aux troncs massifs. Architecture en arcs outrepassés, zellige géométrique aux abords du bassin, portes en bois massif et balcon supérieur avec garde-corps ajouré.",high,False,False,,1896,186,0.002826
WhatsApp Image 2026-09-09 at 08.29.44 (2).jpeg,commun,statique,"Zellige dense au sol et motifs répétitifs dominants (carrelage géométrique, cadres dorés symétriques)",True,,"Salle de bains traditionnelle marocaine avec baignoire îlot rouge et blanc, double vasque, miroirs dorés et zellige géométrique noir et blanc au sol. Fenêtres à carreaux et décoration en bois travaillé complètent l'ensemble.",high,True,False,,1896,185,0.002821
WhatsApp Image 2026-09-09 at 08.29.44 (3).jpeg,chambre,statique,"Vue frontale symétrique d'une chambre avec motifs répétitifs (zellige au sol, draperies) et composition axiale dominante",True,,"Chambre de riad aux proportions généreuses, organisée autour d'une alcôve voûtée. Lit drapé de velours rouge, sol en zellige géométrique, draperies rouges aux fenêtres et lustre en cristal rose complètent l'ambiance traditionnelle marocaine.",high,True,False,,1896,198,0.002886
WhatsApp Image 2026-09-09 at 08.29.44.jpeg,piscine,motion,"Vue large d'un patio ouvert avec perspective profonde, peu de motif répétitif dominant",True,,"Patio intérieur d'un riad traditionnel marocain avec bassin central entouré d'arbres. Architecture caractérisée par des arcades en pierre, portes en bois travaillé, zellige bleu sur les bordures et sol en terre cuite avec filets géométriques.",high,False,False,,1896,179,0.002791
WhatsApp Image 2026-09-09 at 08.29.45 (1).jpeg,commun,statique,Salle de bain avec zellige au sol (motif géométrique dense répétitif) et vue frontale sans profondeur spatiale marquée,True,,"Salle de bain aux influences marocaines avec carrelage géométrique noir et blanc au sol, miroir doré ornementé, vasque blanche et accessoires en laiton. Décoration murale composée de textiles brodés et d'objets artisanaux reflétant l'esthétique riad traditionnel.",high,True,False,,1896,200,0.002896
WhatsApp Image 2026-09-09 at 08.29.45 (2).jpeg,chambre,motion,"Vue en profondeur à travers l'entrée, perspective spacieuse sur la chambre avec lit et décor",True,,"Entrée d'une chambre de riad avec portes en bois massif richement sculptées. L'intérieur révèle un lit circulaire, des draperies rouges, un lustre en cristal rouge et un sol en zellige traditionnel.",high,False,False,,1896,173,0.002761
WhatsApp Image 2026-09-09 at 08.29.45 (3).jpeg,commun,statique,Zellige dense et motif géométrique répétitif dominant sur les murs et sol,True,,"Salon marocain aux murs rose poudré avec alcôve en plâtre travaillé. Canapé beige garni de coussins rouges et écrus, zellige géométrique rouge et blanc au sol, mobilier en bois et accessoires traditionnels.",high,True,False,,1896,173,0.002761
WhatsApp Image 2026-09-09 at 08.29.45.jpeg,chambre,motion,"Vue large et profonde de la suite avec perspective linéaire marquée, peu de motif répétitif dominant",True,,"Suite spacieuse aux teintes rouge et or, organisée en enfilade. Lit circulaire sous alcôve voûtée, mobilier en bois, sol en zellige polychrome, draperies rouges et lustre en verre de Murano rouge.",high,False,False,,1896,174,0.002766
WhatsApp Image 2026-09-09 at 08.29.46 (1).jpeg,chambre,statique,"Présence dominante de motifs géométriques denses (zellige mural, textiles à chevrons répétitifs, carrelage au sol)",True,,"Chambre de riad aux murs ornés de zellige blanc géométrique et textiles jaune-or. Lit central avec coussins assortis, draperies jaunes aux fenêtres, lustre rose et mobilier d'époque créant une ambiance marocaine classique.",high,True,False,,1896,190,0.002846
WhatsApp Image 2026-09-09 at 08.29.46 (2).jpeg,chambre,motion,"Vue large de la chambre avec profondeur, perspective linéaire vers les portes et le couloir, peu de motif géométrique dominant",True,,"Chambre spacieuse aux tons jaune d'or et blanc, avec portes-fenêtres ornées donnant sur cour. Lit central, mobilier en bois travaillé, lustre rouge et blanc, rideaux dorés aux embrasses coordonnées.",high,False,False,,1896,181,0.002801
WhatsApp Image 2026-09-09 at 08.29.46 (3).jpeg,chambre,statique,Murs couverts de motifs géométriques denses (pegboard) et zellige répétitif dominant la composition,True,,"Chambre d'hôte marocain aux murs ornés de zellige blanc et beige, agrémentés de petits objets de décoration dorés. Lit bas drapé de blanc et rouge, fenêtre à carreaux en bois ouvrant sur l'extérieur, porte en bois massif donnant accès à la salle d'eau.",high,True,False,,1896,204,0.002916
